age,sex,uw_class,monthly,source
42,female,preferred_tobacco,19.40,agent_center_interpolated
42,female,standard_tobacco,19.59,agent_center_interpolated
42,male,preferred_tobacco,20.26,agent_center_interpolated
42,male,standard_tobacco,20.45,agent_center_interpolated
43,female,preferred_tobacco,19.77,agent_center_interpolated
43,female,standard_tobacco,19.96,agent_center_interpolated
43,male,preferred_tobacco,20.73,agent_center_interpolated
43,male,standard_tobacco,20.92,agent_center_interpolated
44,female,preferred_tobacco,20.13,agent_center_interpolated
44,female,standard_tobacco,20.33,agent_center_interpolated
44,male,preferred_tobacco,21.19,agent_center_interpolated
44,male,standard_tobacco,21.39,agent_center_interpolated
45,female,preferred_plus_nt,16.32,flyer_rates_compare_rev_10_25
45,male,preferred_plus_nt,17.60,flyer_rates_compare_rev_10_25
