carrier,product,state,age,sex,smoker,face_amount,health_class,monthly_premium,rank_in_quote,is_best,is_mvi_appointed,integrity_carrier,integrity_product,harvest_batch_id,source_date
aflac,primary_plan_rop,NE,55,male,0,10000,standard_nt,72.99,46,0,0,Aflac,Primary Plan ROP,2026-08-15,2026-08-15
transamerica,express_graded,NE,55,male,0,10000,standard_nt,80.98,47,0,1,Transamerica Life Insurance Co.,Express Graded,2026-08-15,2026-08-15
transamerica,easy_solution,NE,55,male,0,10000,standard_nt,91.42,48,0,1,Transamerica Life Insurance Co.,Easy Solution,2026-08-15,2026-08-15
royal,ensured_legacy_guaranteed_issue,NE,55,male,0,10000,standard_nt,102.83,49,0,0,royal,Ensured Legacy - Guaranteed Issue,2026-08-15,2026-08-15
logo,guaranteed_issue,NE,55,male,0,10000,standard_nt,103.11,50,0,0,logo,Guaranteed Issue,2026-08-15,2026-08-15
transamerica,immediate_solution_preferred,NE,55,male,0,15000,standard_nt,51.77,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-15,2026-08-15
americo,eagle_select_1,NE,55,male,0,15000,standard_nt,52.01,2,0,1,Americo,Eagle Select 1,2026-08-15,2026-08-15
moo,living_promise_level,NE,55,male,0,15000,standard_nt,52.32,3,0,1,United of Omaha,Living Promise Level,2026-08-15,2026-08-15
lbl,simpl_preferred,NE,55,male,0,15000,standard_nt,55.57,4,0,0,lbl,SIMPL Preferred,2026-08-15,2026-08-15
logo,preferred,NE,55,male,0,15000,standard_nt,55.74,5,0,0,logo,Preferred,2026-08-15,2026-08-15
transamerica,express_premier,NE,55,male,0,15000,standard_nt,57.0,6,0,1,Transamerica Life Insurance Co.,Express Premier,2026-08-15,2026-08-15
corebridge,simplinow_level,NE,55,male,0,15000,standard_nt,57.23,7,0,1,Corebridge Financial,SimpliNow Level,2026-08-15,2026-08-15
foresters,planright_preferred,NE,55,male,0,15000,standard_nt,57.3,8,0,0,foresters,PlanRight/Preferred,2026-08-15,2026-08-15
cigna,primary_plan,NE,55,male,0,15000,standard_nt,57.54,9,0,0,cigna,PRIMARY PLAN,2026-08-15,2026-08-15
royal,simplified_issue_plan,NE,55,male,0,15000,standard_nt,58.08,10,0,0,royal,Simplified Issue Plan,2026-08-15,2026-08-15
amam,senior_choice_immediate,NE,55,male,0,15000,standard_nt,58.73,11,0,1,American Amicable,Senior Choice Immediate,2026-08-15,2026-08-15
amam,golden_solution_immediate,NE,55,male,0,15000,standard_nt,60.63,12,0,1,American Amicable,Golden Solution Immediate,2026-08-15,2026-08-15
transamerica,immediate_solution_standard,NE,55,male,0,15000,standard_nt,61.68,13,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-15,2026-08-15
logo,standard,NE,55,male,0,15000,standard_nt,62.31,14,0,0,logo,Standard,2026-08-15,2026-08-15
aetna,preferred,NE,55,male,0,15000,standard_nt,64.4,15,0,1,Aetna,Preferred,2026-08-15,2026-08-15
logo,superior_choice,NE,55,male,0,15000,standard_nt,64.52,16,0,0,logo,Superior Choice,2026-08-15,2026-08-15
amam,platinum_solution_immediate,NE,55,male,0,15000,standard_nt,65.33,17,0,1,American Amicable,Platinum Solution Immediate,2026-08-15,2026-08-15
royal,ensured_legacy_standard,NE,55,male,0,15000,standard_nt,66.52,18,0,0,royal,Ensured Legacy/Standard,2026-08-15,2026-08-15
americo,eagle_select_2,NE,55,male,0,15000,standard_nt,66.76,19,0,1,Americo,Eagle Select 2,2026-08-15,2026-08-15
moo,living_promise_graded,NE,55,male,0,15000,standard_nt,67.49,20,0,1,United of Omaha,Living Promise Graded,2026-08-15,2026-08-15
aetna,standard,NE,55,male,0,15000,standard_nt,70.96,21,0,1,Aetna,Standard,2026-08-15,2026-08-15
amam,senior_choice_graded,NE,55,male,0,15000,standard_nt,71.64,22,0,1,American Amicable,Senior Choice Graded,2026-08-15,2026-08-15
aflac,standard,NE,55,male,0,15000,standard_nt,72.82,23,0,0,Aflac,Standard,2026-08-15,2026-08-15
lbl,simpl_standard,NE,55,male,0,15000,standard_nt,73.12,24,0,0,lbl,SIMPL Standard,2026-08-15,2026-08-15
corebridge,simplinow_graded,NE,55,male,0,15000,standard_nt,77.35,25,0,1,Corebridge Financial,SimpliNow Graded,2026-08-15,2026-08-15
americo,eagle_select_3,NE,55,male,0,15000,standard_nt,77.49,26,0,1,Americo,Eagle Select 3,2026-08-15,2026-08-15
amam,golden_solution_graded,NE,55,male,0,15000,standard_nt,77.67,27,0,1,American Amicable,Golden Solution Graded,2026-08-15,2026-08-15
transamerica,express_select,NE,55,male,0,15000,standard_nt,77.95,28,0,1,Transamerica Life Insurance Co.,Express Select,2026-08-15,2026-08-15
amam,senior_choice_rop,NE,55,male,0,15000,standard_nt,80.65,29,0,1,American Amicable,Senior Choice ROP,2026-08-15,2026-08-15
lbl,mwl,NE,55,male,0,15000,standard_nt,81.15,30,0,0,lbl,MWL,2026-08-15,2026-08-15
