carrier,product,state,age,sex,smoker,face_amount,health_class,monthly_premium,rank_in_quote,is_best,is_mvi_appointed,integrity_carrier,integrity_product,harvest_batch_id,source_date
transamerica,immediate_solution_standard,NE,10,male,0,25000,standard_nt,42.37,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,10,male,0,40000,standard_nt,57.69,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,10,male,0,40000,standard_nt,65.63,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,10,male,0,50000,standard_nt,71.21,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,10,male,0,50000,standard_nt,81.13,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,0,male,0,5000,standard_nt,9.49,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,0,male,0,5000,standard_nt,10.35,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,0,male,0,10000,standard_nt,15.36,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,0,male,0,10000,standard_nt,17.09,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,0,male,0,15000,standard_nt,21.24,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,0,male,0,15000,standard_nt,23.83,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,0,male,0,25000,standard_nt,32.99,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,0,male,0,25000,standard_nt,37.3,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,0,male,0,40000,standard_nt,50.61,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
